WL17,Area17
0.488,3.16021775
0.446,2.65075775
0.461,2.83270775
0.463,2.85696775
0.456,2.77205775
0.488,3.16021775
0.459,2.80844775
0.467,2.90548775
0.446,2.65075775
0.469,2.92974775
0.463,2.85696775
0.46,2.82057775
0.452,2.72353775
0.451,2.71140775
0.452,2.72353775
0.462,2.84483775
0.465,2.88122775
0.493,3.22086775
0.466,2.89335775
0.487,3.14808775
0.487,3.14808775
0.483,3.09956775
0.478,3.03891775
0.473,2.97826775
0.749,6.493118125
0.444,2.62649775
0.458,2.79631775
0.468,2.91761775
0.468,2.91761775
0.46,2.82057775
0.447,2.66288775
0.434,2.50519775
0.442,2.60223775
0.447,2.66288775
0.431,2.46880775
0.453,2.73566775
0.473,2.97826775
0.467,2.90548775
0.479,3.05104775
0.52,3.54271125
0.481,3.07530775
0.461,2.83270775
0.447,2.66288775
0.444,2.62649775
0.452,2.72353775
0.469,2.92974775
0.513,3.46346775
0.503,3.34216775
0.493,3.22086775
0.492,3.20873775
0.501,3.31790775
1.515,18.86573575
0.55,3.92101125
0.465,2.88122775
0.462,2.84483775
0.425,2.39602775
0.413,2.27596775
0.883,8.332258125
0.67,5.451748125
1.144,12.36269375
0.475,3.00252775
0.437,2.54158775
0.442,2.60223775
0.432,2.48093775
0.402,2.15628775
0.421,2.34750775
0.45,2.69927775
0.45,2.69927775
0.443,2.61436775
0.426,2.40815775
0.68,5.582548125
0.702,5.870308125
0.68,5.582548125
0.706,5.922628125
0.707,5.935708125
0.729,6.222318125
1.485,18.31643575
0.853,7.911658125
0.558,4.02189125
0.508,3.40281775
0.514,3.47559775
0.492,3.20873775
2.875,47.11223125
1.039,10.64674375
0.653,5.229388125
1.002,10.07051925
0.71,5.974948125
0.638,5.033188125
0.617,4.76588125
0.586,4.37497125
0.604,4.60195125
1.491,18.42629575
2.277,34.19929688
0.766,6.723298125
0.75,6.506658125
0.696,5.791828125
0.666,5.399428125
0.973,9.63058925
0.69,5.713348125
0.657,5.281708125
0.649,5.177068125
0.774,6.831618125
0.886,8.374318125
0.829,7.575178125
2.288,34.43073688
1.147,12.41306375
0.878,8.262158125
0.779,6.899318125
0.835,7.659298125
0.823,7.491058125
0.774,6.831618125
1.14,12.29553375
2.044,29.34690375
1.303,15.06730375
2.143,31.39595625
3.246,55.60179375
1.089,11.46124375
0.877,8.248138125
0.82,7.454458125
0.728,6.208778125
0.701,5.857228125
0.668,5.425588125
0.656,5.268628125
0.647,5.150908125
0.635,4.993948125
0.606,4.62717125
0.591,4.43802125
1.017,10.29806925
0.974,9.64575925
0.965,9.50922925
0.965,9.50922925
0.94,9.12997925
0.912,8.738838125
0.907,8.668738125
0.898,8.542558125
0.95,9.28167925
1.021,10.35352375
0.582,4.32453125
0.568,4.14799125
0.586,4.37497125
0.593,4.46324125
0.652,5.216308125
0.719,6.092668125
0.719,6.092668125
0.71,5.974948125
0.522,3.56793125
5.962,136.5412443
0.773,6.818078125
0.475,3.00252775
0.47,2.94187775
0.479,3.05104775
0.515,3.48772775
0.459,2.80844775
0.428,2.43241775
0.516,3.49985775
0.459,2.80844775
0.432,2.48093775
0.408,2.22156775
0.409,2.23244775
0.401,2.14540775
0.401,2.14540775
0.569,4.16060125
0.567,4.13538125
0.565,4.11016125
0.569,4.16060125
0.556,3.99667125
0.552,3.94623125
0.552,3.94623125
0.522,3.56793125
0.99,9.88847925
0.49,3.18447775
,2.90548775
0.467,2.72353775
0.452,2.85696775
0.463,2.88122775
0.465,2.79631775
0.458,1.85164775
0.374,2.69927775
0.45,2.30860775
0.416,2.69927775
0.45,2.79631775
0.458,2.50519775
0.434,2.44454775
0.429,2.60223775
0.442,2.57797775
0.44,2.61436775
0.443,2.10188775
0.397,2.66288775
0.447,2.40815775
0.426,2.68714775
0.449,2.49306775
0.433,2.66288775
0.447,2.22156775
0.408,1.93868775
0.382,2.05836775
0.393,2.06924775
0.394,2.26508775
0.412,2.06924775
0.394,2.05836775
0.393,1.69932775
0.36,1.69932775
0.36,1.92780775
0.381,2.02572775
0.39,2.06924775
0.394,2.13452775
0.4,1.96044775
0.384,1.47084775
0.339,2.13452775
0.4,2.06924775
0.394,2.02572775
0.39,2.22156775
0.408,2.11276775
0.398,2.31948775
0.417,2.27596775
0.413,24.29489013
1.796,5.412508125
0.667,2.54158775
0.437,2.24332775
0.41,2.12364775
0.399,2.35963775
0.422,2.48093775
0.432,2.33036775
0.418,2.29772775
0.415,3.28151775
0.498,2.65075775
0.446,2.49306775
0.433,2.62649775
0.444,2.52945775
0.436,2.50519775
0.434,2.66288775
0.447,2.54158775
0.437,2.91761775
0.468,2.69927775
0.45,2.57797775
0.44,2.83270775
0.461,2.35212775
0.42,2.52945775
0.436,2.54158775
0.437,2.44454775
0.429,2.51732775
0.435,2.37176775
0.423,2.50519775
0.434,2.37176775
0.423,2.71140775
0.451,2.59010775
0.441,2.59010775
0.441,2.56584775
0.439,2.37176775
0.423,2.51732775
0.435,2.45667775
0.43,2.29772775
0.415,2.79631775
0.458,2.99039775
0.474,3.01465775
0.476,2.91761775
0.468,2.78418775
0.457,2.52945775
0.436,2.91761775
0.468,3.22086775
0.493,3.18447775
0.49,3.12382775
0.485,2.99039775
0.474,2.91761775
0.468,2.57797775
0.44,3.00252775
0.475,2.86909775
0.464,2.72353775
0.452,3.11169775
0.484,3.17234775
0.489,3.14808775
0.487,2.92974775
0.469,3.18447775
0.49,3.92101125
0.55,3.85796125
0.545,3.80752125
0.541,4.07233125
0.562,4.28670125
0.579,5.242468125
0.654,5.320948125
0.66,6.466038125
0.747,5.373268125
0.664,5.229388125
0.653,5.595628125
0.681,5.595628125
0.681,5.634868125
0.684,3.07530775
0.481,3.25725775
0.496,3.35429775
0.504,3.29364775
0.499,3.47559775
0.514,3.74447125
0.536,3.63098125
0.527,3.51198775
0.517,3.63098125
0.527,3.65620125
0.529,3.63098125
0.527,3.69403125
0.532,3.82013125
0.542,3.75708125
