date (m/dd/yyyy hh:mm),"Water Level, ft","Area, ft^2",x,y
30-01-2016 15:00,0.8,1.597616,79,12.355
30-01-2016 15:10,0.802,1.605536,77,11.035
30-01-2016 15:20,0.803,1.609496,75,9.91
30-01-2016 15:30,0.8,1.597616,73,9.18
30-01-2016 15:40,0.798,1.589696,71,6.785
30-01-2016 15:50,0.795,1.578036,69,6.005
30-01-2016 16:00,0.804,1.613456,67,5.655
30-01-2016 16:10,0.8,1.597616,65,5.235
30-01-2016 16:20,0.804,1.613456,61,5.01
30-01-2016 16:30,0.798,1.589696,59,4.415
30-01-2016 16:40,0.809,1.63308,57,4.105
30-01-2016 16:50,0.811,1.64106,55,3.415
30-01-2016 17:00,0.817,1.664836,54,3.155
30-01-2016 17:10,0.836,1.740764,53,2.905
30-01-2016 17:20,0.827,1.704756,51,1.83
30-01-2016 17:30,0.832,1.724906,49,1.485
30-01-2016 17:40,0.833,1.728936,47,1.085
30-01-2016 17:50,0.832,1.724906,45,0.94
30-01-2016 18:00,0.831,1.720876,43,0.515
30-01-2016 18:10,0.828,1.708786,41,0.355
30-01-2016 18:20,0.834,1.732966,37,0.255
30-01-2016 18:30,0.836,1.740764,35,0.095
30-01-2016 18:40,0.841,1.761064,33,0.03
30-01-2016 18:50,0.832,1.724906,31,0.465
30-01-2016 19:00,0.837,1.744824,29,1.115
30-01-2016 19:10,0.833,1.728936,27,1.615
30-01-2016 19:30,0.839,1.752944,25,2.025
30-01-2016 19:40,0.836,1.740764,23,2.105
30-01-2016 19:50,0.833,1.728936,21,2.165
30-01-2016 20:00,0.835,1.736704,19,2.965
30-01-2016 20:10,0.833,1.728936,17,3.185
30-01-2016 20:20,0.835,1.736704,15,4.935
30-01-2016 20:30,0.829,1.712816,13,5.745
30-01-2016 20:40,0.826,1.700726,11,6.935
30-01-2016 20:50,0.829,1.712816,9,7.455
30-01-2016 21:00,0.837,1.744824,7,9.58
30-01-2016 21:10,0.843,1.769184,5,10.92
30-01-2016 21:20,0.833,1.728936,3,12.55
30-01-2016 21:30,0.833,1.728936,0,13.1
30-01-2016 21:40,0.835,1.736704,,
30-01-2016 21:50,0.836,1.740764,,
30-01-2016 22:00,0.834,1.732966,,
30-01-2016 22:10,0.833,1.728936,,
30-01-2016 22:20,0.83,1.716846,,
30-01-2016 22:30,0.83,1.716846,,
30-01-2016 22:40,0.834,1.732966,,
30-01-2016 22:50,0.837,1.744824,,
30-01-2016 23:00,0.827,1.704756,,
30-01-2016 23:10,0.835,1.736704,,
30-01-2016 23:20,0.828,1.708786,,
30-01-2016 23:30,0.829,1.712816,,
30-01-2016 23:40,0.833,1.728936,,
30-01-2016 23:50,0.833,1.728936,,
31-01-2016 00:00,0.84,1.757004,,
31-01-2016 00:10,0.833,1.728936,,
31-01-2016 00:20,0.841,1.761064,,
31-01-2016 00:30,0.851,1.801584,,
31-01-2016 00:40,0.872,1.887306,,
31-01-2016 00:50,0.876,1.90365,,
31-01-2016 01:00,0.883,1.9327,,
31-01-2016 01:10,0.883,1.9327,,
31-01-2016 01:20,0.871,1.883176,,
31-01-2016 01:30,0.867,1.866656,,
31-01-2016 01:40,0.864,1.854584,,
31-01-2016 01:50,0.858,1.829984,,
31-01-2016 02:00,0.865,1.858396,,
31-01-2016 02:10,0.858,1.829984,,
31-01-2016 02:20,0.858,1.829984,,
31-01-2016 02:30,0.855,1.817684,,
31-01-2016 02:40,0.856,1.821784,,
31-01-2016 02:50,0.853,1.809744,,
31-01-2016 03:00,0.856,1.821784,,
31-01-2016 03:10,0.846,1.781184,,
31-01-2016 03:20,0.847,1.785264,,
31-01-2016 03:30,0.849,1.793424,,
31-01-2016 03:40,0.844,1.773244,,
31-01-2016 03:50,0.847,1.785264,,
31-01-2016 04:00,0.842,1.765124,,
31-01-2016 04:10,0.842,1.765124,,
31-01-2016 04:20,0.842,1.765124,,
31-01-2016 04:30,0.846,1.781184,,
31-01-2016 04:40,0.846,1.781184,,
31-01-2016 04:50,0.842,1.765124,,
31-01-2016 05:00,0.846,1.781184,,
31-01-2016 05:10,0.853,1.809744,,
31-01-2016 05:20,0.853,1.809744,,
31-01-2016 05:30,0.86,1.838184,,
31-01-2016 05:40,0.853,1.809744,,
31-01-2016 05:50,0.867,1.866656,,
31-01-2016 06:00,0.877,1.9078,,
