qxdata17,qydata17
0,13.1
0.01,13.09816667
0.02,13.09633333
0.03,13.0945
0.04,13.09266667
0.05,13.09083333
0.06,13.089
0.07,13.08716667
0.08,13.08533333
0.09,13.0835
0.1,13.08166667
0.11,13.07983333
0.12,13.078
0.13,13.07616667
0.14,13.07433333
0.15,13.0725
0.16,13.07066667
0.17,13.06883333
0.18,13.067
0.19,13.06516667
0.2,13.06333333
0.21,13.0615
0.22,13.05966667
0.23,13.05783333
0.24,13.056
0.25,13.05416667
0.26,13.05233333
0.27,13.0505
0.28,13.04866667
0.29,13.04683333
0.3,13.045
0.31,13.04316667
0.32,13.04133333
0.33,13.0395
0.34,13.03766667
0.35,13.03583333
0.36,13.034
0.37,13.03216667
0.38,13.03033333
0.39,13.0285
0.4,13.02666667
0.41,13.02483333
0.42,13.023
0.43,13.02116667
0.44,13.01933333
0.45,13.0175
0.46,13.01566667
0.47,13.01383333
0.48,13.012
0.49,13.01016667
0.5,13.00833333
0.51,13.0065
0.52,13.00466667
0.53,13.00283333
0.54,13.001
0.55,12.99916667
0.56,12.99733333
0.57,12.9955
0.58,12.99366667
0.59,12.99183333
0.6,12.99
0.61,12.98816667
0.62,12.98633333
0.63,12.9845
0.64,12.98266667
0.65,12.98083333
0.66,12.979
0.67,12.97716667
0.68,12.97533333
0.69,12.9735
0.7,12.97166667
0.71,12.96983333
0.72,12.968
0.73,12.96616667
0.74,12.96433333
0.75,12.9625
0.76,12.96066667
0.77,12.95883333
0.78,12.957
0.79,12.95516667
0.8,12.95333333
0.81,12.9515
0.82,12.94966667
0.83,12.94783333
0.84,12.946
0.85,12.94416667
0.86,12.94233333
0.87,12.9405
0.88,12.93866667
0.89,12.93683333
0.9,12.935
0.91,12.93316667
0.92,12.93133333
0.93,12.9295
0.94,12.92766667
0.95,12.92583333
0.96,12.924
0.97,12.92216667
0.98,12.92033333
0.99,12.9185
1,12.91666667
1.01,12.91483333
1.02,12.913
1.03,12.91116667
1.04,12.90933333
1.05,12.9075
1.06,12.90566667
1.07,12.90383333
1.08,12.902
1.09,12.90016667
1.1,12.89833333
1.11,12.8965
1.12,12.89466667
1.13,12.89283333
1.14,12.891
1.15,12.88916667
1.16,12.88733333
1.17,12.8855
1.18,12.88366667
1.19,12.88183333
1.2,12.88
1.21,12.87816667
1.22,12.87633333
1.23,12.8745
1.24,12.87266667
1.25,12.87083333
1.26,12.869
1.27,12.86716667
1.28,12.86533333
1.29,12.8635
1.3,12.86166667
1.31,12.85983333
1.32,12.858
1.33,12.85616667
1.34,12.85433333
1.35,12.8525
1.36,12.85066667
1.37,12.84883333
1.38,12.847
1.39,12.84516667
1.4,12.84333333
1.41,12.8415
1.42,12.83966667
1.43,12.83783333
1.44,12.836
1.45,12.83416667
1.46,12.83233333
1.47,12.8305
1.48,12.82866667
1.49,12.82683333
1.5,12.825
1.51,12.82316667
1.52,12.82133333
1.53,12.8195
1.54,12.81766667
1.55,12.81583333
1.56,12.814
1.57,12.81216667
1.58,12.81033333
1.59,12.8085
1.6,12.80666667
1.61,12.80483333
1.62,12.803
1.63,12.80116667
1.64,12.79933333
1.65,12.7975
1.66,12.79566667
1.67,12.79383333
1.68,12.792
1.69,12.79016667
1.7,12.78833333
1.71,12.7865
1.72,12.78466667
1.73,12.78283333
1.74,12.781
1.75,12.77916667
1.76,12.77733333
1.77,12.7755
1.78,12.77366667
1.79,12.77183333
1.8,12.77
1.81,12.76816667
1.82,12.76633333
1.83,12.7645
1.84,12.76266667
1.85,12.76083333
1.86,12.759
1.87,12.75716667
1.88,12.75533333
1.89,12.7535
1.9,12.75166667
1.91,12.74983333
1.92,12.748
1.93,12.74616667
1.94,12.74433333
1.95,12.7425
1.96,12.74066667
1.97,12.73883333
1.98,12.737
1.99,12.73516667
2,12.73333333
2.01,12.7315
2.02,12.72966667
2.03,12.72783333
2.04,12.726
2.05,12.72416667
2.06,12.72233333
2.07,12.7205
2.08,12.71866667
2.09,12.71683333
2.1,12.715
2.11,12.71316667
2.12,12.71133333
2.13,12.7095
2.14,12.70766667
2.15,12.70583333
2.16,12.704
2.17,12.70216667
2.18,12.70033333
2.19,12.6985
2.2,12.69666667
2.21,12.69483333
2.22,12.693
2.23,12.69116667
2.24,12.68933333
2.25,12.6875
2.26,12.68566667
2.27,12.68383333
2.28,12.682
2.29,12.68016667
2.3,12.67833333
2.31,12.6765
2.32,12.67466667
2.33,12.67283333
2.34,12.671
2.35,12.66916667
2.36,12.66733333
2.37,12.6655
2.38,12.66366667
2.39,12.66183333
2.4,12.66
2.41,12.65816667
2.42,12.65633333
2.43,12.6545
2.44,12.65266667
2.45,12.65083333
2.46,12.649
2.47,12.64716667
2.48,12.64533333
2.49,12.6435
2.5,12.64166667
2.51,12.63983333
2.52,12.638
2.53,12.63616667
2.54,12.63433333
2.55,12.6325
2.56,12.63066667
2.57,12.62883333
2.58,12.627
2.59,12.62516667
2.6,12.62333333
2.61,12.6215
2.62,12.61966667
2.63,12.61783333
2.64,12.616
2.65,12.61416667
2.66,12.61233333
2.67,12.6105
2.68,12.60866667
2.69,12.60683333
2.7,12.605
2.71,12.60316667
2.72,12.60133333
2.73,12.5995
2.74,12.59766667
2.75,12.59583333
2.76,12.594
2.77,12.59216667
2.78,12.59033333
2.79,12.5885
2.8,12.58666667
2.81,12.58483333
2.82,12.583
2.83,12.58116667
2.84,12.57933333
2.85,12.5775
2.86,12.57566667
2.87,12.57383333
2.88,12.572
2.89,12.57016667
2.9,12.56833333
2.91,12.5665
2.92,12.56466667
2.93,12.56283333
2.94,12.561
2.95,12.55916667
2.96,12.55733333
2.97,12.5555
2.98,12.55366667
2.99,12.55183333
3,12.55
3.01,12.54185
3.02,12.5337
3.03,12.52555
3.04,12.5174
