um_c,LB1,UB1,velocity
0.531715151,0.481077725,0.582352578,0.483
0.504804997,0.454167571,0.555442424,0.469
0.480475269,0.429837842,0.531112696,0.468
0.4655088,0.414871373,0.516146227,0.462
0.58988532,0.539247893,0.640522747,0.525
0.994643526,0.944006099,1.045280953,1.047
0.909784383,0.859146956,0.96042181,0.84
0.705857024,0.655219598,0.756494451,0.687
0.74249907,0.691861643,0.793136496,0.739
1.013591223,0.962953796,1.06422865,1.031
0.851761667,0.801124241,0.902399094,0.881
0.755548651,0.704911224,0.806186078,0.76
0.674228378,0.623590951,0.724865804,0.628
0.717653256,0.667015829,0.768290683,0.704
0.694429425,0.643791998,0.745066852,0.677
0.674228378,0.623590951,0.724865804,0.667
0.755548651,0.704911224,0.806186078,0.768
0.769114318,0.718476891,0.819751745,0.781
0.976433093,0.925795666,1.02707052,0.943
0.909784383,0.859146956,0.96042181,0.883
0.755548651,0.704911224,0.806186078,0.778
0.755548651,0.704911224,0.806186078,0.764
0.769114318,0.718476891,0.819751745,0.707
0.672753849,0.622116422,0.723391276,0.626
0.618933541,0.568296114,0.669570968,0.597
0.894523008,0.843885581,0.945160435,0.865
0.74249907,0.691861643,0.793136496,0.751
0.941929115,0.891291688,0.992566541,0.893
0.652331622,0.601694195,0.702969049,0.635
0.467868046,0.41723062,0.518505473,0.476
0.459979316,0.40934189,0.510616743,0.463
0.445012847,0.39437542,0.495650274,0.455
0.445012847,0.39437542,0.495650274,0.454
0.445012847,0.39437542,0.495650274,0.451
0.445012847,0.39437542,0.495650274,0.438
0.437861382,0.387223955,0.488498808,0.452
0.445012847,0.39437542,0.495650274,0.46
0.445012847,0.39437542,0.495650274,0.459
0.424295715,0.373658288,0.474933142,0.458
0.424295715,0.373658288,0.474933142,0.445
0.445012847,0.39437542,0.495650274,0.466
0.445012847,0.39437542,0.495650274,0.468
0.445012847,0.39437542,0.495650274,0.48
0.445012847,0.39437542,0.495650274,0.464
0.467868046,0.41723062,0.518505473,0.503
0.467868046,0.41723062,0.518505473,0.511
0.476051682,0.425414256,0.526689109,0.509
0.467868046,0.41723062,0.518505473,0.492
0.452311766,0.401674339,0.502949192,0.483
0.467868046,0.41723062,0.518505473,0.505
0.476051682,0.425414256,0.526689109,0.509
0.476051682,0.425414256,0.526689109,0.511
0.445012847,0.39437542,0.495650274,0.487
0.430931095,0.380293669,0.481568522,0.477
0.445012847,0.39437542,0.495650274,0.471
0.411541039,0.360903612,0.462178466,0.433
0.388243481,0.337606055,0.438880908,0.42
0.382861451,0.332224024,0.433498877,0.417
0.284805273,0.234167846,0.3354427,0.297
0.28008678,0.229449354,0.330724207,0.299
0.28008678,0.229449354,0.330724207,0.296
0.271092154,0.220454727,0.32172958,0.298
0.262613612,0.211976185,0.313251039,0.289
0.258632384,0.207994957,0.30926981,0.287
0.258632384,0.207994957,0.30926981,0.287
0.262613612,0.211976185,0.313251039,0.285
0.271092154,0.220454727,0.32172958,0.297
0.271092154,0.220454727,0.32172958,0.297
0.28008678,0.229449354,0.330724207,0.304
0.28008678,0.229449354,0.330724207,0.303
0.289671219,0.239033792,0.340308646,0.309
0.289671219,0.239033792,0.340308646,0.309
0.266742293,0.216104866,0.31737972,0.296
0.266742293,0.216104866,0.31737972,0.294
0.250964833,0.200327406,0.30160226,0.252
0.250964833,0.200327406,0.30160226,0.243
0.250964833,0.200327406,0.30160226,0.246
0.271092154,0.220454727,0.32172958,0.256
0.271092154,0.220454727,0.32172958,0.255
0.363913753,0.313276326,0.41455118,0.328
0.358015637,0.30737821,0.408653064,0.321
0.348210019,0.297572593,0.398847446,0.33
0.348210019,0.297572593,0.398847446,0.309
0.33552907,0.284891643,0.386166497,0.309
0.33552907,0.284891643,0.386166497,0.309
0.329557228,0.278919801,0.380194655,0.305
0.329557228,0.278919801,0.380194655,0.304
0.329557228,0.278919801,0.380194655,0.303
0.329557228,0.278919801,0.380194655,0.304
0.302204715,0.251567288,0.352842142,0.306
0.318055902,0.267418475,0.368693329,0.326
0.302204715,0.251567288,0.352842142,0.307
0.292399097,0.241761671,0.343036524,0.3
0.297191317,0.24655389,0.347828743,0.3
0.297191317,0.24655389,0.347828743,0.297
0.323732838,0.273095412,0.374370265,0.329
0.329557228,0.278919801,0.380194655,0.321
0.329557228,0.278919801,0.380194655,0.322
0.318055902,0.267418475,0.368693329,0.356
0.30729184,0.256654413,0.357929267,0.342
0.30729184,0.256654413,0.357929267,0.321
0.329557228,0.278919801,0.380194655,0.342
0.323732838,0.273095412,0.374370265,0.334
0.297191317,0.24655389,0.347828743,0.305
0.287754331,0.237116904,0.338391758,0.295
0.287754331,0.237116904,0.338391758,0.294
0.287754331,0.237116904,0.338391758,0.29
0.297191317,0.24655389,0.347828743,0.3
0.302204715,0.251567288,0.352842142,0.312
0.302204715,0.251567288,0.352842142,0.314
0.297191317,0.24655389,0.347828743,0.309
0.329557228,0.278919801,0.380194655,0.338
0.312600144,0.261962718,0.363237571,0.345
