velocity,um_c
0.483,0.531715151
0.469,0.504804997
0.468,0.480475269
0.462,0.4655088
0.525,0.58988532
1.047,0.994643526
0.84,0.909784383
0.687,0.705857024
0.739,0.74249907
1.031,1.013591223
0.881,0.851761667
0.76,0.755548651
0.628,0.674228378
0.704,0.717653256
0.677,0.694429425
0.667,0.674228378
0.768,0.755548651
0.781,0.769114318
0.943,0.976433093
0.883,0.909784383
0.778,0.755548651
0.764,0.755548651
0.707,0.769114318
0.626,0.672753849
0.597,0.618933541
0.865,0.894523008
0.751,0.74249907
0.893,0.941929115
0.635,0.652331622
0.476,0.467868046
0.463,0.459979316
0.455,0.445012847
0.454,0.445012847
0.451,0.445012847
0.438,0.445012847
0.452,0.437861382
0.46,0.445012847
0.459,0.445012847
0.458,0.424295715
0.445,0.424295715
0.466,0.445012847
0.468,0.445012847
0.48,0.445012847
0.464,0.445012847
0.503,0.467868046
0.511,0.467868046
0.509,0.476051682
0.492,0.467868046
0.483,0.452311766
0.505,0.467868046
0.509,0.476051682
0.511,0.476051682
0.487,0.445012847
0.477,0.430931095
0.471,0.445012847
0.433,0.411541039
0.42,0.388243481
0.417,0.382861451
0.297,0.284805273
0.299,0.28008678
0.296,0.28008678
0.298,0.271092154
0.289,0.262613612
0.287,0.258632384
0.287,0.258632384
0.285,0.262613612
0.297,0.271092154
0.297,0.271092154
0.304,0.28008678
0.303,0.28008678
0.309,0.289671219
0.309,0.289671219
0.296,0.266742293
0.294,0.266742293
0.252,0.250964833
0.243,0.250964833
0.246,0.250964833
0.256,0.271092154
0.255,0.271092154
0.328,0.363913753
0.321,0.358015637
0.33,0.348210019
0.309,0.348210019
0.309,0.33552907
0.309,0.33552907
0.305,0.329557228
0.304,0.329557228
0.303,0.329557228
0.304,0.329557228
0.306,0.302204715
0.326,0.318055902
0.307,0.302204715
0.3,0.292399097
0.3,0.297191317
0.297,0.297191317
0.329,0.323732838
0.321,0.329557228
0.322,0.329557228
0.356,0.318055902
0.342,0.30729184
0.321,0.30729184
0.342,0.329557228
0.334,0.323732838
0.305,0.297191317
0.295,0.287754331
0.294,0.287754331
0.29,0.287754331
0.3,0.297191317
0.312,0.302204715
0.314,0.302204715
0.309,0.297191317
0.338,0.329557228
0.345,0.312600144
